label,x,y,w,h,filename,width,height
building,323,22,357,339,20180417_radarbogor_Nasional_Gempa-44-SR-Guncang-Banjarnegara-Ratusan-Bangunan-Rusak.jpg,690,385


building,0,39,447,316,2021-04-13rumah-korban-gempa.jpg,700,400
building,0,0,726,319,big_8ef1fac4cd252cc521e24cfc6e1920d5b16b0df6JPG.jpg,750,432


building,163,47,834,479,C2F1A5252.jpg,1140,691
building,100,6,540,397,c49353c76202f6a0ac80fbe111a0782a_1.png,640,427
building,73,8,354,379,capture-2021-04-11-165219-4091cc1fa0b43bf6112c64d2293800ae_600x400.jpg,600,400
building,144,2,656,321,Gempa-Sukabumi-6.jpg,800,442
building,44,30,646,355,gempa-sukabumi.jpg,690,385
building,33,0,147,91,gempa-sulbar-dok-bnpb_169.jpeg,200,113
building,448,10,251,164,gempa.jpg,705,399
building,3,7,700,416,gempa_bali.jpg,703,423
building,-2,56,379,119,gempa_maluku.jpg,525,300
building,47,0,51,90,image.jpeg,100,100
building,0,9,46,33,image0.jpeg,100,100
building,61,11,28,37,image0.jpeg,100,100
building,36,14,64,75,image1.jpeg,100,100
building,5,20,277,130,image11.jpeg,301,168

building,72,3,164,121,image12.jpeg,274,184
building,88,0,129,178,image13.jpeg,259,194
building,31,0,108,53,image14.jpeg,300,168
building,26,101,125,87,image15.jpeg,183,275

building,20,0,254,143,image16.jpeg,302,167
building,0,0,286,104,image17.jpeg,300,168
building,15,0,77,89,image2.jpeg,100,100
building,44,4,215,104,image20.jpeg,300,168
building,0,0,212,131,image23.jpeg,259,194
building,52,0,205,128,image25.jpeg,299,168
building,17,3,258,170,image27.jpeg,275,183
building,33,23,268,145,image28.jpeg,301,168
building,119,25,135,148,image29.jpeg,259,194
building,48,24,51,59,image5.jpeg,100,100
building,2,1,97,84,images.jpg,100,100
building,9,6,218,182,images113.jpg,268,188
bridge,153,5,410,442,1718924097p.jpg,675,450
bridge,34,92,793,340,190123162025-895.jpg,830,556







bridge,177,681,2823,845,1bcc87062e9f4d70b030f1962cd20b07_Meniti20Jembatan20Rusak_01.jpg,3000,2000
bridge,177,49,203,353,20140109234658-nestapa-warga-banten-lewati-jembatan-rusak-002-debby.jpg,640,410
bridge,338,28,302,399,20200805_-_Jembatan_Rusak_Banjir.jpeg,640,427
bridge,74,71,306,189,259d262b-3362-47ed-a9a5-e8bce0c1910c.jpeg,480,260

bridge,251,31,204,311,327179_620.jpg,620,355

bridge,170,61,550,659,331-kondisi-jembatan-penyeberangan-yang-menghubungkan-dua-desa-di-jangkat-rusak-parah..jpg,720,720



bridge,0,145,401,101,56052-lewati-jembatan-anak-sekolah-jalan-bergelantungan.jpg,480,260

bridge,331,30,324,720,57jembatan.jpg,1000,750





bridge,3,43,197,70,64cb18b5-87e7-48d5-ad83-c33f0eac25f0_169.jpeg,200,113







bridge,16,12,551,389,94IMG-20200212-WA0019.jpg,700,817
bridge,319,403,26,19,94IMG-20200212-WA0019.jpg,700,817

bridge,78,51,421,449,antarafoto-jembatan-rusak-di-tasikmalaya-270520-adb-6.jpg,800,500
bridge,4,7,246,50,banjir-bandang-di-ntt-pupr-akan-fokus-perbaiki-3-jembatan-rusak.jpg,250,125


bridge,18,102,649,418,Bantuan-perbaikan-Jembatan-ROHUL-2_compress15.jpg,1040,520




bridge,225,52,344,317,bat.jpg,578,384



bridge,4,24,190,39,d3b0191c-7aa3-4adf-8880-09cbd26cfa02_169.jpg,200,112
bridge,0,78,448,362,daea386a-0268-497c-a1df-f0f188e1f396_169.jpeg,780,440







bridge,240,29,995,903,F-25-JEMBATAN-RUSAK-1.jpg,1280,960

bridge,382,135,278,432,Foto-6-18.jpg,1008,567


bridge,92,54,351,471,foto-jembatan-rusak-di-garut20_700.jpg,700,525






bridge,11,7,67,93,image.jpeg,100,100
bridge,1,25,99,26,image0.jpeg,100,100
bridge,1,14,99,86,image1.jpeg,100,100
bridge,24,2,76,98,image10.jpeg,100,100


bridge,138,10,137,168,image13.jpeg,275,183
bridge,53,25,120,144,image14.jpeg,299,169
bridge,90,4,117,161,image17.jpeg,299,168

bridge,96,2,153,166,image18.jpeg,300,168
bridge,19,4,62,96,image2.jpeg,100,100


bridge,58,12,198,162,image20.jpeg,275,183
bridge,5,6,164,122,image21.jpeg,284,177
bridge,21,0,272,141,image22.jpeg,302,167

bridge,62,19,154,151,image23.jpeg,297,170
bridge,99,7,99,176,image24.jpeg,275,183
bridge,0,0,97,60,image24.jpeg,275,183
bridge,0,13,273,164,image25.jpeg,285,177


bridge,23,33,214,154,image26.jpeg,269,187

bridge,64,7,236,161,image27.jpeg,300,168
bridge,0,49,249,93,image28.jpeg,300,168


bridge,0,0,275,183,images102.jpg,275,183
bridge,0,18,147,150,images105.jpg,300,168
bridge,230,93,65,75,images105.jpg,300,168

bridge,3,20,281,152,images106.jpg,285,177
bridge,43,38,175,143,images107.jpg,275,183
bridge,0,54,281,50,images108.jpg,285,177



bridge,44,0,231,183,images111.jpg,275,183


bridge,0,1,271,182,images112.jpg,275,183


building,26,5,141,99,images113.jpg,225,225
bridge,15,52,255,51,images114.jpg,274,184

bridge,3,35,305,129,images115.jpg,308,164
bridge,0,24,274,128,images116.jpg,274,184




bridge,89,38,114,70,images118.jpg,275,183

bridge,12,20,221,139,images119.jpg,275,183



bridge,59,61,197,118,images12.jpg,275,183


bridge,75,34,97,135,images120.jpg,298,169

bridge,47,7,209,171,images121.jpg,283,178



bridge,7,24,268,44,images123.jpg,275,183
bridge,19,51,249,45,images124.jpg,275,183

bridge,56,26,131,107,images125.jpg,299,169






bridge,0,0,255,87,images128.jpg,275,183
bridge,86,24,113,151,images130.jpg,275,183


bridge,81,11,147,157,images131.jpg,300,168






bridge,38,41,183,147,images135.jpg,259,194
bridge,81,9,115,141,images138.jpg,290,174

bridge,0,54,178,69,images139.jpg,259,194
bridge,7,10,89,72,images14.jpg,100,100
building,188,2,91,60,images140.jpg,300,168
bridge,116,73,159,67,images143.jpg,275,183

bridge,59,43,238,121,images144.jpg,308,164

bridge,11,12,257,169,images145.jpg,274,184
bridge,71,7,140,155,images146.jpg,311,162
bridge,71,7,208,111,images147.jpg,279,180

bridge,72,29,163,156,images148.jpg,264,191
bridge,11,0,86,97,images149.jpg,100,100




bridge,10,38,265,62,images150.jpg,275,183


bridge,25,1,227,162,images151.jpg,300,168

bridge,0,92,195,80,images153.jpg,275,183


bridge,72,6,100,102,images157.jpg,275,183

bridge,32,13,169,179,images159.jpg,259,194

bridge,19,31,233,128,images16.jpg,300,168



bridge,64,2,235,83,images160.jpg,299,168
bridge,93,2,119,165,images162.jpg,301,167

bridge,45,29,219,140,images163.jpg,292,173
bridge,48,10,177,73,images164.jpg,299,169







bridge,6,4,288,82,images167.jpg,294,171

bridge,76,2,124,157,images169.jpg,318,159



bridge,61,63,70,54,images17.jpg,284,177






bridge,10,13,150,164,images171.jpg,275,183


bridge,3,70,271,111,images173.jpg,274,184







bridge,30,18,224,167,images174.jpg,264,191
bridge,16,8,191,186,images176.jpg,259,194
bridge,0,10,98,42,images179.jpg,100,100

bridge,0,40,297,128,images18.jpg,299,168
bridge,84,55,130,94,images182.jpg,275,183


bridge,0,40,299,128,images184.jpg,299,168



bridge,12,75,221,108,images185.jpg,275,183


bridge,67,23,136,160,images187.jpg,275,183
bridge,46,73,209,88,images188.jpg,266,190
bridge,0,0,286,114,images189.jpg,303,166
bridge,65,47,135,85,images19.jpg,284,177

bridge,0,31,297,137,images191.jpg,300,168
bridge,112,48,103,120,images192.jpg,300,168



bridge,0,0,276,180,images193.jpg,277,182
bridge,11,98,255,51,images194.jpg,266,190
bridge,0,7,265,96,images195.jpg,275,183











bridge,0,80,275,80,images554.jpg,275,183

bridge,0,67,190,189,images558.jpg,197,256
bridge,0,4,146,3,images560.jpg,299,168
bridge,139,16,160,152,images560.jpg,299,168



bridge,0,61,230,129,images567.jpg,259,194


bridge,0,47,244,129,images569.jpg,286,176

bridge,0,31,263,83,images572.jpg,320,158







bridge,0,0,118,78,images577.jpg,300,168

bridge,127,14,112,143,images578.jpg,320,157

bridge,21,37,163,140,images58.jpg,275,183






bridge,1,79,274,104,images582.jpg,275,183




bridge,4,42,296,126,images584.jpg,300,168
bridge,37,30,204,124,images585.jpg,300,168




bridge,77,56,199,127,images589.jpg,276,183



bridge,54,33,221,150,images59.jpg,275,183
building,0,0,272,149,images590.jpg,320,158

bridge,25,0,249,116,images591.jpg,275,183
bridge,71,11,189,88,images593.jpg,288,175

bridge,66,2,233,166,images595.jpg,299,168






bridge,2,3,264,137,images597.jpg,266,190
bridge,0,0,248,174,images598.jpg,259,194


building,0,0,170,178,images599.jpg,278,181
bridge,143,20,100,111,images600.jpg,259,195


bridge,21,0,226,171,images603.jpg,275,183

bridge,14,39,207,181,images608.jpg,229,220




bridge,0,0,224,172,images609.jpg,278,181

bridge,1,67,258,87,images61.jpg,259,194
bridge,6,11,263,65,images611.jpg,299,168

bridge,9,0,261,93,images614.jpg,275,183

bridge,1,34,256,93,images615.jpg,259,194







bridge,6,46,220,166,images621.jpg,238,212


















bridge,0,0,313,94,images63.jpg,313,161





bridge,16,0,243,57,images630.jpg,259,194

bridge,26,0,220,47,images632.jpg,300,168




bridge,1,10,312,138,images634.jpg,313,161
bridge,20,47,202,85,images65.jpg,259,194
bridge,21,5,297,154,images66.jpg,318,159

bridge,5,43,264,104,images69.jpg,277,182
bridge,7,68,262,62,images7.jpg,276,183
bridge,13,26,229,80,images70.jpg,275,183
bridge,0,0,267,117,images71.jpg,281,179
bridge,72,16,131,54,images74.jpg,320,158

bridge,89,2,187,181,images76.jpg,276,183
bridge,1,5,249,54,images77.jpg,250,125




bridge,49,12,136,168,images79.jpg,281,180




bridge,33,15,265,154,images8.jpg,298,169









bridge,43,64,208,119,images81.jpg,276,183
bridge,0,0,329,153,images84.jpg,329,153

building,88,19,146,83,images86.jpg,297,169
bridge,0,48,132,75,images87.jpg,259,194









bridge,52,101,243,67,images89.jpg,300,168









bridge,16,17,280,132,images92.jpg,318,159



building,0,8,186,86,images93.jpg,259,194

bridge,0,35,240,114,images94.jpg,305,165
bridge,39,1,278,77,images95.jpg,318,159


bridge,4,5,255,144,images96.jpg,259,194


bridge,0,0,144,154,images97.jpg,300,168

bridge,64,5,170,211,images98.jpg,234,216
bridge,384,75,316,347,image_77_jawik.jpg,700,455
bridge,0,75,373,266,image_77_jawik.jpg,700,455


bridge,77,23,355,381,IMG-20170903-WA0015_1.jpg,750,500



bridge,224,14,312,421,IMG-20210303-WA0257-768x435.jpg,768,435

bridge,162,53,222,232,img_20210101_132629.jpg,600,313


bridge,0,0,680,376,IMG_20210317_135624.jpg,719,460








bridge,87,97,424,283,jembatan-ambrol-560x390.jpg,560,390
bridge,20,136,654,167,Jembatan-Desa-Baliara-Patah.jpg,700,465

bridge,352,133,1,1,Jembatan-Patah-di-Nusadadi-Perbatasan-Banyumas-dan-Kebumen-Banyak-Roda-Empat-Putar-Balik-400x240.jpg,400,240
bridge,114,1,67,112,jembatan-rawayan-rusak-di-garut_169.jpeg,200,113
bridge,57,8,80,142,jembatan-rawayan-tak-kunjung-diperbaiki-meski-sudah-rusak-parah_43.jpeg,200,150

bridge,42,138,756,342,Jembatan-rusak(1).jpg,798,560

bridge,148,57,812,426,jembatan-rusak(2).jpg,960,637

bridge,39,67,761,139,jembatan-rusak-1.jpg,800,533



bridge,74,0,670,502,jembatan-rusak-10.jpg,766,502

bridge,268,79,389,415,jembatan-rusak-di-lebak-qr36if-hl.jpg,700,500

bridge,220,33,182,233,Jembatan-Rusak-Di-Nganjuk-130321-pf-4_1.jpg,730,487
bridge,72,266,628,126,jembatan-rusak-di-tasikmalaya-qazeab-hl.jpg,700,500

bridge,43,110,787,427,jembatan-rusak-ilustrasi-_140615145403-788.jpg,830,556
bridge,189,213,342,726,jembatan-rusak-pino-bs.jpg,720,967


bridge,178,48,846,406,jembatan-rusak-tirto-mico-1_ratio-16x9.jpg,1024,577

bridge,279,75,320,231,JEMBATAN-RUSAK.jpg,696,464




bridge,1100,39,1900,1953,jembatan-rusak0(1).jpg,3000,1992
bridge,37,7,566,764,Jembatan-rusak0.jpg,682,771




bridge,20,22,517,328,jembatan-sekolah-5c4ada98bde5753c296e2532.jpg,600,400
bridge,192,62,360,370,jembatan-trimulyo-ok.jpg,800,500
bridge,194,9,216,391,jembatan.jpg,600,400
bridge,0,0,203,149,jembatan.jpg,600,400
bridge,88,156,445,123,jembatan01.jpg,533,400
bridge,128,7,447,301,jembatann.jpg,632,308

bridge,174,3,290,397,jembatan_rusak.jpeg,533,400



bridge,127,12,594,488,jxBzzCuxhq5kb6gD4OexOYqHirtcaeO20IA0mVVx.jpeg,750,500






bridge,87,103,314,290,Kondisi-jembatan-di-Desa-Jawik-Kecamatan-Tambakrejo-Bojonegoro-yang-tersapu-banjir-Senin-12-3-lalu.-Yudi-Handoyo-JawaPos.com_.jpeg,670,421



bridge,15,93,585,129,Lima-Jembatan-Gantung-Daerah-Banjir.jpg,600,400
bridge,166,25,417,369,phzs0e1slt1kw9tv5vj3.jpg,640,397
bridge,175,149,575,127,Rcz3nAV1G6ncXhAzVARxf0zX8evZ3ORNgKPZHV0i.jpeg,750,500

bridge,117,74,232,202,sebuah-jembatan-gantung-yang-menghubungkan-tiga-desa-di-kecamatan_200628213238-408.jpg,465,276

bridge,6,36,557,257,setahun-lebih-jembatan-rusak-di-pamekasan-tidak-diperbaiki_m_119293.jpg,650,406
bridge,310,28,362,470,sindir-pemda-gadis-ini-menari-di-atas-jembatan-rusak-35gJazuzlH.jpg,800,498
bridge,314,57,588,548,Sinergitas-TNI-Polri-di-Jeneponto-Perbaiki-Jembatan-Rusak-Akibat-Banjir.jpg,1074,606
bridge,90,138,674,216,suasana-jembatan-rusak-di-desa-kweden-nganjuk-jawa-timur_210313155150-483.jpg,830,553


bridge,5,47,726,191,WhatsApp-Image-2020-04-27-at-18.37.49-1.jpeg,912,420
bridge,8,38,1250,327,WhatsApp-Image-2021-01-06-at-19.15.33.jpeg,1280,720
